ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢ ᠮᠠᠰᠢ ᠶᠡᠬᠡ ᠬᠢᠯᠢᠩᠨᠡᠪᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠡᠨᠡ ᠬᠡᠷᠡᠭ ᠨᠢ ᠠᠭᠤᠷ ᠬᠢᠯᠢᠩ ᠡᠭᠦᠰᠴᠡᠢ
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠲᠡᠭᠦᠨ ᠦ᠌ ᠡᠵᠢ ᠨᠢ ᠡᠢᠮᠦ ᠬᠠᠷᠠᠭᠠᠯᠵᠠᠯ ᠣᠯᠵᠤ ᠦᠵᠡᠭᠡᠳ ᠠᠭᠤᠷᠯᠠᠪᠠ
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠬᠡᠦᠬᠡᠳ ᠲᠡᠢ ᠪᠡᠨ ᠬᠠᠮᠲᠤ ᠳᠠᠰᠬᠠᠯ ᠬᠢᠬᠦ ᠪᠣᠯ ᠠᠮᠠᠷᠬᠠᠨ ᠬᠢᠯᠢᠩᠨᠡᠬᠦ ᠶᠠᠪᠤᠳᠠᠯ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠥᠨᠥᠳᠥᠷ ᠦ᠋ᠨ ᠤᠷᠮ᠎ᠠ ᠰᠡᠳᠬᠢᠯᠭᠡ ᠬᠢᠯᠢᠩᠨᠡᠵᠦ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠠᠯᠪᠠᠳᠠᠯᠭ᠎ᠠ ᠪᠠᠷ ᠲᠣᠬᠢᠷᠠᠭᠤᠯᠤᠭᠰᠠᠨ ᠠᠵᠢᠯ ᠳ᠋ᠤ᠌ ᠪᠢ ᠲᠣᠩ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠡᠨᠡᠬᠦ ᠮᠡᠬᠡᠯᠡᠭᠳᠡᠭᠰᠡᠨ ᠠᠭᠤᠷ ᠬᠢᠯᠢᠩ ᠨᠢ ᠲᠡᠳᠡᠨ ᠦ᠌ ᠬᠣᠭᠣᠷᠣᠨᠳᠣᠬᠢ ᠬᠠᠢᠷ᠎ᠠ ᠰᠡᠳᠬᠢᠯᠭᠡ ᠶ᠋ᠢᠨ ᠵᠢᠭᠤᠷᠠᠯᠳᠤᠭᠠᠨ ᠠ᠋ᠴᠠ ᠬᠣᠯᠠ ᠶᠡᠬᠡ ᠶᠦ᠍ᠮ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠲᠡᠳᠡ ᠲᠣᠩ ᠬᠢᠯᠢᠩᠨᠡᠨ ᠨᠡᠪᠲᠡᠷᠡᠭᠦᠯᠦᠯᠭᠡ ᠶ᠋ᠢ ᠣᠯᠵᠤ ᠦᠵᠡᠭᠡᠳ ᠬᠤᠭᠤᠴᠠᠭ᠎ᠠ ᠦᠭᠡᠢ ᠪᠣᠯᠵᠠᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢ ᠢᠩᠭᠢᠵᠦ ᠬᠢᠯᠢᠩᠨᠡᠪᠡ ᠦᠦ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢ ᠣᠮᠣᠷᠬᠠᠭ ᠪᠠᠢᠬᠤ ᠦᠭᠡᠢ ᠂ ᠤᠴᠢᠷ ᠨᠢ ᠪᠢ ᠨᠡᠢᠳᠡᠮ ᠲᠣᠩ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠥᠩᠭᠡᠷᠡᠭᠰᠡᠨ 24 ᠴᠠᠭ ᠲᠤ᠌ ᠪᠢ ᠪᠦᠷ ᠡᠭᠦᠨ ᠦ᠌ ᠲᠥᠯᠥᠭᠡ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠳ᠋ᠢᠶᠠᠩᠬᠤᠸᠠ ᠪᠠᠷ ᠠᠯᠤᠰᠯᠠᠬᠤ ᠪᠦᠷᠢ ᠪᠢ ᠪᠦᠷ ᠡᠰᠡᠷᠭᠦ ᠡᠲᠡᠭᠡᠳ ᠦ᠋ᠨ ᠠᠭᠤᠷ ᠬᠢᠯᠢᠩ ᠢ᠋ᠶ᠋ᠡᠨ ᠰᠡᠷᠡᠵᠦ ᠣᠯᠤᠨ᠎ᠠ 
